all_pOx,max_pOx,correct,gal_Index,num_cand
[0.11350085 0.88434744],0.8843474444232096,False,7744841.0,40
[0.99373703],0.9937370299585202,True,7737872.0,38
[0.02039547 0.01424846 0.96119474],0.961194741207055,True,7706051.0,38
[0.01496201 0.19284373 0.76533079],0.7653307853470152,True,7435777.0,43
"[0.04973185 0.03965329 0.17048306 0.2614168  0.12579604 0.11506517
 0.12706277 0.06653602 0.01571796 0.02465346]",0.26141679572114723,False,4179531.0,31
[0.0106144  0.81985289 0.1673375 ],0.8198528940459958,True,7756763.0,41
"[0.01585101 0.01205644 0.04119737 0.04671851 0.01670563 0.02471092
 0.19018801 0.02795885 0.02691429 0.50124474 0.01745773 0.01232853
 0.01741965 0.01647384]",0.5012447430314028,True,5730270.0,34
[0.99707152],0.9970715247153986,True,7748418.0,33
[0.98706533],0.9870653317846679,True,7736623.0,43
[0.06214331 0.03402516 0.27415286 0.10834817 0.49072978],0.49072977996931316,True,7732647.0,32
[0.02222584 0.01649981 0.01042582 0.13524723 0.79960467],0.7996046730020625,True,6945203.0,52
[0.02496809 0.35484691 0.12259397 0.49135651],0.49135651029001004,False,3839844.0,29
[0.04443449 0.09158367 0.01352478 0.82483646],0.8248364649778632,True,7670674.0,36
[0.99578623],0.9957862270540889,True,7712155.0,30
[0.03486943 0.02534699 0.13489043 0.74732832 0.02101576 0.03238329],0.7473283246632049,True,5776259.0,33
"[0.0105267  0.03135966 0.20660932 0.24537653 0.02335592 0.07341488
 0.40482041]",0.4048204143752649,False,4580086.0,28
[0.99561072],0.9956107179039438,True,7745259.0,39
[0.01351632 0.95982725],0.9598272472429314,True,7558055.0,26
[0.99787963],0.9978796344972191,True,7760683.0,42
[0.03843856 0.03010964 0.90651177],0.9065117740673677,False,3164806.0,41
[0.99929403],0.9992940338115417,True,7760228.0,30
[0.99577984],0.9957798447622167,True,7751185.0,40
"[0.03784329 0.34983899 0.04349966 0.03544907 0.01843235 0.04532303
 0.02030565 0.41249366]",0.41249366472910726,True,7636056.0,41
[0.01923326 0.96248452],0.9624845246973378,True,4857913.0,35
[0.02848516 0.04029256 0.90622188],0.9062218818445298,True,7743005.0,43
[0.38140416 0.5873853 ],0.5873853028332012,False,1531289.0,28
[0.99527218],0.9952721759119418,True,7751190.0,34
[0.0259738  0.7182274  0.0830048  0.0721784  0.06092962],0.7182273997652008,True,5535507.0,40
[0.9893271],0.9893270985939376,True,7709469.0,35
[0.016162   0.55263682 0.39269993],0.5526368157464392,True,6621885.0,38
"[0.59323422 0.01017414 0.02969292 0.08708285 0.01293799 0.04839475
 0.01578978 0.19126699]",0.593234217059131,True,3109859.0,32
[0.9961803],0.9961802961811789,True,7710005.0,42
[0.01335136 0.97383957],0.9738395656197887,True,5137677.0,38
"[0.08017241 0.01506071 0.03325856 0.41071761 0.11755251 0.31868358
 0.01098846]",0.41071760883595554,False,3023971.0,50
[0.98996938],0.9899693817994201,True,7759294.0,41
[0.01073217 0.02853557 0.03549703 0.76820126 0.1189332  0.01229331],0.7682012624516251,True,4848186.0,42
[0.99972879],0.9997287891455786,True,7760811.0,37
[0.99819158],0.9981915761872081,True,7742951.0,29
[0.9827483],0.9827483016485402,True,7755027.0,53
[0.97736141],0.9773614092698433,True,7748460.0,33
[0.25602185 0.01051076 0.01750874 0.30658902 0.34483131 0.02658383],0.3448313073848051,False,6093177.0,57
[0.99668557],0.9966855672280172,True,7761004.0,42
[0.99959149],0.9995914860120434,True,7760767.0,30
[0.99654295],0.9965429508814106,True,7758416.0,42
[0.47781283 0.05506124 0.45194109 0.01148048],0.4778128302759799,True,1400058.0,24
[0.02049053 0.74770453 0.11586196 0.08375926 0.01061899],0.7477045326412464,True,2562699.0,44
[0.02845383 0.97135056],0.9713505551890094,True,7760204.0,42
[0.01229492 0.01015126 0.86678799 0.08865566],0.8667879887397402,True,6588459.0,30
"[0.02025092 0.03380269 0.15035728 0.01078105 0.02463305 0.03147781
 0.10526558 0.58755859]",0.5875585946342617,True,7744484.0,40
[0.98707964],0.9870796382683289,True,7673645.0,49
[0.07249354 0.18958776 0.60128081 0.05691781 0.04920386],0.6012808136913008,True,1319938.0,33
[0.01035628 0.98360622],0.9836062241480088,True,7621931.0,34
[0.0171121 0.9747422],0.9747421995988161,True,7743680.0,21
"[0.06466967 0.25795474 0.07074735 0.16789574 0.36530721 0.01093809
 0.01077987 0.02273612]",0.36530721467288335,False,2032118.0,43
"[0.01213678 0.02485005 0.01640134 0.81890981 0.01048628 0.01964935
 0.01732518 0.05452829]",0.8189098061521833,True,6046053.0,46
"[0.02729527 0.05370111 0.04083522 0.01276783 0.01070784 0.02711279
 0.05255836 0.01919911 0.7346127 ]",0.7346126963211949,True,7761312.0,47
"[0.68255747 0.04668603 0.09199499 0.01881766 0.01731178 0.06353775
 0.04888901]",0.6825574659962104,True,1269177.0,32
[0.93775054 0.05155792],0.9377505379939547,True,2700090.0,33
[0.02291054 0.05131075 0.88616659 0.01648178],0.8861665943506898,True,7633827.0,28
[0.14674613 0.01460963 0.46386579 0.03287854 0.16521832 0.13309339],0.4638657904946495,True,3900287.0,47
[0.99943056],0.9994305601108426,True,7758743.0,29
