all_pOx,max_pOx,correct,gal_Index,num_cand
"[0.01305118 0.03966627 0.03558837 0.01786107 0.01680529 0.01862552
 0.82587255]",0.8258725522754028,True,5620066.0,36
[0.99844195],0.9984419508800775,False,923502.0,29
[0.04272688 0.02709523 0.92083678],0.9208367822743158,True,3532620.0,28
"[0.29949666 0.15997837 0.02585492 0.0204353  0.01775149 0.36003596
 0.04549171 0.03532372]",0.36003596291712275,False,3450885.0,45
"[0.05116104 0.06647302 0.01647939 0.01565641 0.57078024 0.02023622
 0.0954331  0.06221105 0.07156519 0.01098707]",0.5707802360534945,True,4565556.0,39
[0.07376258 0.65579144 0.01316051 0.0280756  0.19490174],0.6557914387557386,True,4465164.0,47
[0.7641487  0.21766163],0.7641487030892297,True,2294435.0,38
[0.99668728],0.996687282006542,False,292540.0,27
"[0.0180801  0.0291469  0.53428551 0.01322746 0.01486787 0.01126788
 0.03684745 0.01729794 0.01533646 0.01915779 0.26168598]",0.5342855128040238,True,2613412.0,46
[0.04508048 0.05909002 0.05809159 0.06696416 0.01284738 0.7217387 ],0.7217387039638948,True,6544063.0,56
[0.11394108 0.0188301  0.01266724 0.01097348 0.8235084 ],0.8235084037592963,False,1946365.0,37
"[0.0556121  0.12027631 0.02590413 0.0146126  0.06086049 0.29253026
 0.18946581 0.2204581  0.01004959]",0.2925302639920146,False,5665860.0,29
[0.87005812 0.01436284 0.09904749],0.8700581191972573,True,4004406.0,52
[0.01102911 0.50053165 0.01005861 0.10816432 0.34166532],0.5005316487966222,True,6318939.0,44
[0.9738204  0.01400195],0.9738203984880317,True,7307027.0,29
"[0.12990217 0.01266554 0.03002737 0.01215138 0.02968747 0.01082354
 0.03888364 0.01450715 0.70516256]",0.7051625648627615,False,206246.0,51
[0.25408799 0.25762038 0.14342004 0.3136462  0.01350857],0.3136462031344605,False,2442288.0,43
[0.05044297 0.92955357 0.01173537],0.9295535736860231,True,1001953.0,25
[0.03325677 0.83943479 0.02051192 0.03512874 0.0442653 ],0.8394347881801195,True,1680924.0,48
"[0.13755011 0.01015055 0.06384274 0.02384484 0.47328539 0.0301709
 0.01000101 0.11366769 0.02349422 0.09804834]",0.4732853861434054,False,342024.0,27
"[0.02986556 0.05989584 0.1999847  0.01938952 0.02432079 0.21378829
 0.04226253 0.0269515  0.34418935]",0.34418935008268803,False,4626977.0,45
[0.01121561 0.48870294 0.01776975 0.0238762  0.06775858 0.37903023],0.4887029406076188,True,5443980.0,46
[0.02305746 0.15921027 0.10610842 0.12056421 0.22700718 0.33676331],0.33676331170330986,False,2820557.0,42
"[0.72139265 0.07682958 0.03897739 0.03706179 0.03731565 0.01872899
 0.01141398 0.01382654 0.02980454]",0.7213926461214788,True,709662.0,44
"[0.43463731 0.29243043 0.01492798 0.01476332 0.05872361 0.03487857
 0.02723204 0.07080846 0.03959569]",0.43463730740205486,True,245280.0,44
[0.04390666 0.22419644 0.07472087 0.51878122 0.1164205  0.01152978],0.5187812243265842,False,6611985.0,36
"[0.10664234 0.16311989 0.21499204 0.38565652 0.01026064 0.07720262
 0.02173941]",0.38565652339867207,True,4553619.0,42
"[0.41525835 0.0112281  0.01920723 0.02130398 0.0319697  0.11916055
 0.05754666 0.28781513]",0.41525835395825134,True,772713.0,33
"[0.01128292 0.14737913 0.02453266 0.32633955 0.19653204 0.04473389
 0.03343437 0.03101021 0.08698253 0.01926848 0.04900976 0.01340796]",0.32633954569274437,True,218849.0,33
"[0.01143692 0.18424904 0.3639827  0.32192389 0.02017908 0.02193771
 0.01139498]",0.3639827038932612,False,5077284.0,55
[0.8694982  0.01599332 0.0115237  0.02186249 0.05919587 0.01029245],0.8694981991866244,True,2199730.0,29
[0.02430947 0.01028617 0.93598563 0.01717793],0.9359856252747448,True,5830097.0,29
"[0.0179188  0.0427332  0.61544046 0.01260991 0.08989543 0.03055386
 0.16902049]",0.615440461125097,True,893581.0,33
"[0.17468042 0.07375739 0.01057078 0.01194289 0.02924221 0.56957284
 0.01227049 0.06692903 0.01809252 0.01031432]",0.5695728358941642,False,191182.0,35
"[0.60521816 0.06456591 0.02756846 0.17403191 0.06347137 0.01196897
 0.01278357 0.01417312]",0.6052181583090807,True,854681.0,52
[0.03837123 0.02485725 0.25936158 0.4557629  0.19570492],0.4557629020551242,False,5657420.0,36
"[0.2573859  0.03893851 0.01940513 0.38310145 0.02147071 0.19313858
 0.01711031 0.02939103]",0.38310144670220836,True,3267618.0,48
[0.07464364 0.07394323 0.01379071 0.0116726  0.02008689 0.77560759],0.7756075901232156,False,1837132.0,34
[0.03415776 0.01728139 0.01614109 0.86632626 0.01339991 0.03600655],0.8663262618679826,True,5025597.0,39
[0.0353466  0.36146882 0.02054877 0.43769023 0.07370397 0.05610855],0.4376902297188344,False,1486176.0,48
"[0.1409132  0.08852937 0.06054986 0.02458711 0.01344469 0.38056543
 0.03121108 0.08603163 0.02519715 0.0574042  0.06696529]",0.3805654311116326,True,4575212.0,34
"[0.02138285 0.33299072 0.04151347 0.01584878 0.08424532 0.03549072
 0.06047194 0.01528974 0.06076648 0.26380704 0.05723857]",0.33299071936160896,True,2062818.0,46
"[0.22866327 0.22709282 0.05065369 0.10418119 0.01680324 0.02787131
 0.29029422 0.01484462 0.02857463]",0.29029422026063006,False,614886.0,31
[0.06032973 0.01594141 0.60277379 0.11864253 0.0927417  0.06757834],0.6027737861222368,True,2178347.0,58
[0.07588595 0.03045217 0.3278902  0.03257512 0.50820555],0.5082055492932525,False,5563910.0,44
[0.16179353 0.63619859 0.01705516 0.01753202 0.09114896 0.02481674],0.6361985857638452,True,1542614.0,48
"[0.61407001 0.01728425 0.04909697 0.1589784  0.10576566 0.01449247
 0.01148111]",0.6140700065470406,True,1041228.0,39
[0.88855958 0.07842066 0.01207664],0.8885595800173873,True,3313960.0,23
[0.01044525 0.66334443 0.03563122 0.01135832 0.09822155 0.16399926],0.6633444289117619,True,2537397.0,26
[0.0231347  0.32218704 0.62098911 0.01322802],0.6209891065695069,False,4010662.0,58
"[0.01267465 0.01629682 0.80529259 0.01082305 0.02104641 0.01739418
 0.01760234 0.04732493 0.01521286]",0.8052925856627258,True,2398474.0,50
[0.03496529 0.01331567 0.89199203 0.04949707],0.8919920345010505,False,4519023.0,40
[0.04752523 0.9170636  0.01309683],0.9170635962261566,True,6539073.0,37
[0.03108786 0.21384016 0.01637136 0.7008788  0.01138362],0.7008788036587986,False,2177112.0,44
[0.03525499 0.065455   0.86383515],0.8638351540984256,True,7667329.0,63
[0.02758351 0.08067483 0.75445867 0.03021588 0.07325144],0.7544586692230469,True,2109979.0,42
[0.04641425 0.02782986 0.8487819  0.01428455 0.02973087],0.8487818995180199,True,5109241.0,35
[0.0181685  0.90551537 0.02814858 0.03277855],0.9055153685806152,True,2960733.0,52
[0.05878542 0.09236525 0.83078513],0.8307851300037382,True,7089957.0,41
[0.06143133 0.69487144 0.03000705 0.13961562 0.04314238 0.01691398],0.6948714441719146,True,1464389.0,48
"[0.01317506 0.0126951  0.70316774 0.02245313 0.04422492 0.1367509
 0.02571285 0.0115899  0.02259087]",0.7031677446989117,True,2008600.0,41
[0.0399199  0.03573197 0.74157963 0.10143246 0.05997464 0.01190347],0.7415796333697622,True,4440026.0,26
[0.06914616 0.13588159 0.01655961 0.74494923],0.7449492317871798,True,6875325.0,38
"[0.02061791 0.01870701 0.01572033 0.03766546 0.03030941 0.67765329
 0.08385664 0.02943547 0.06698637]",0.6776532871375913,True,4174138.0,43
"[0.02609904 0.07742817 0.03003447 0.01860954 0.3637897  0.01404621
 0.14223518 0.01343888 0.01765724 0.03447096 0.07397267 0.15306719]",0.36378969872294825,True,1815513.0,35
"[0.69724831 0.06111263 0.04125755 0.01185186 0.01819198 0.12064828
 0.02863143]",0.6972483090589785,True,778446.0,39
