all_pOx,max_pOx,correct,gal_Index,num_cand
"[0.04804251 0.02266383 0.49310329 0.03870243 0.03657604 0.23421443
 0.11649629]",0.4931032854380604,True,1651953.0,30
[0.01550393 0.05635083 0.91930445],0.9193044543838844,True,7420281.0,33
[0.01609123 0.01203954 0.48141757 0.02322    0.39958821 0.0170051 ],0.48141756558076754,True,6568358.0,48
"[0.08962789 0.06189963 0.58405558 0.04747336 0.02152893 0.01303253
 0.01820255 0.15618521]",0.5840555816611178,True,1901389.0,31
[0.61806596 0.01134549 0.26275051 0.02983967 0.06191428],0.6180659626975525,True,2971712.0,35
[0.90724098 0.06765294],0.9072409823970499,True,2809241.0,30
[0.01903331 0.76327655 0.18019134 0.01158335],0.7632765531945126,True,2294884.0,32
[0.39708991 0.04356863 0.18309562 0.28157388 0.01762604 0.05041279],0.3970899098905805,False,2957049.0,42
[0.81361204 0.02814013 0.01239197 0.06962211],0.8136120444757624,True,2084747.0,53
[0.03376666 0.04074008 0.23249824 0.0202793  0.62367084 0.02472319],0.6236708410927263,True,5397212.0,42
[0.0115367  0.96524263],0.9652426326088407,True,2578983.0,30
[0.07211457 0.13796452 0.40173662 0.22576519 0.0930652  0.04329135],0.4017366218378695,False,1232127.0,52
"[0.46373412 0.07391909 0.228861   0.08022535 0.06204444 0.02207328
 0.03354801]",0.4637341196184042,True,169709.0,46
[0.95473441],0.9547344088605194,True,2430296.0,51
[0.02181491 0.88676679 0.06700787],0.886766793757978,True,4249479.0,36
[0.33108552 0.33690435 0.29985431],0.3369043533145944,False,1634834.0,36
"[0.01037291 0.03555572 0.02775048 0.01222736 0.15861806 0.69991936
 0.02498749]",0.6999193589012808,True,7109726.0,45
[0.04411198 0.03648669 0.86866797 0.01410454 0.01317137],0.8686679667634893,True,4965034.0,33
"[0.01627424 0.60754331 0.01132173 0.01632699 0.03083573 0.24642933
 0.03174041]",0.6075433051931481,True,547887.0,35
