all_pOx,max_pOx,correct,gal_Index,num_cand
[0.05667767 0.03402877 0.02467148 0.81356378 0.02293449 0.02749717],0.8135637813550852,True,3514193.0,32
"[0.01052543 0.0815863  0.15510325 0.11142111 0.5308986  0.02494771
 0.0561212 ]",0.5308985971255383,True,4136195.0,33
"[0.3352961  0.04518759 0.10602963 0.06408272 0.23503016 0.01154756
 0.18690739]",0.3352961001511999,False,5071919.0,32
[0.60092512 0.02029082 0.06235365 0.09391121 0.18360899 0.0275597 ],0.6009251230796894,True,2246047.0,30
[0.07136068 0.79676859 0.08998035 0.02227313],0.7967685865138575,True,6470314.0,38
[0.04594257 0.01754238 0.20427465 0.69219341 0.01403355],0.6921934072581566,False,4299166.0,57
"[0.28539068 0.07671691 0.0333753  0.06271932 0.1330907  0.1337405
 0.06009654 0.10020126 0.08061808 0.01406553]",0.28539068210272966,False,2765506.0,46
[0.24211075 0.64352456 0.0702062  0.01681373],0.643524561769109,True,2436643.0,22
[0.01493858 0.03209252 0.01511599 0.73421462 0.18242433 0.01538698],0.7342146214150608,True,5836618.0,36
"[0.36282707 0.10855421 0.06819331 0.04824442 0.05815426 0.13861508
 0.06443761 0.11868156]",0.362827070059717,True,1261472.0,69
[0.05231947 0.53645725 0.17787199 0.1415182  0.01507953 0.06378458],0.5364572490333929,False,5886224.0,35
"[0.01721221 0.73171908 0.06785066 0.08128375 0.02425151 0.01764805
 0.03393058]",0.731719080484387,False,1030242.0,43
"[0.03075374 0.02611151 0.76269559 0.01008521 0.01601306 0.02206982
 0.04558447 0.02842177 0.03819885]",0.7626955906324078,True,2955593.0,49
[0.017354   0.10347289 0.85575985 0.01035694],0.8557598520426206,True,7759654.0,30
"[0.09631581 0.20898618 0.5265386  0.01955813 0.01027586 0.11072791
 0.01718878]",0.5265385950788084,False,4474.0,51
"[0.38945341 0.02940162 0.02817168 0.03406561 0.05230835 0.05088272
 0.0447289  0.02547563 0.24824913 0.03735742 0.01327187 0.02489212]",0.38945340866829364,True,387145.0,51
[0.01282223 0.08495947 0.89104698],0.8910469768631311,True,5692962.0,56
[0.05239727 0.01096394 0.03331427 0.01288279 0.84116442 0.01570487],0.8411644249875315,True,4832627.0,34
[0.99226682],0.9922668215468478,True,3230368.0,24
"[0.03939995 0.02212243 0.2865804  0.10347799 0.48915154 0.01079983
 0.01316562 0.01277128]",0.4891515433763241,True,2974320.0,44
"[0.01955925 0.05825312 0.0245161  0.42652171 0.1909482  0.02342061
 0.05438191 0.07320451 0.07839264]",0.42652170696408853,True,2861610.0,68
[0.01692885 0.97611482],0.9761148167868564,True,5202968.0,38
"[0.15481766 0.01084834 0.022329   0.01082674 0.16175055 0.33869026
 0.02583148 0.04264504 0.05509929 0.01734659 0.13343283]",0.33869025525167096,False,2574404.0,44
[0.04255961 0.85048195 0.03081689 0.02735739 0.03405455],0.8504819529102665,True,2063766.0,34
"[0.01246176 0.6120303  0.0166296  0.07590999 0.0302083  0.02396352
 0.17069599 0.01838231 0.01546085]",0.6120302984531051,True,2522474.0,57
[0.73247014 0.02355281 0.09946274 0.06182738 0.06490892],0.7324701396596595,True,736424.0,50
[0.01220858 0.92979508 0.02973852 0.01027543],0.9297950808005033,True,2048271.0,25
[0.86308036 0.01311178 0.01943938 0.08203535],0.8630803627519434,True,1167288.0,25
"[0.11685389 0.05764307 0.02677097 0.01033571 0.01409773 0.01017712
 0.01732096 0.71816802 0.01380123]",0.71816801643015,True,7301540.0,37
"[0.09931984 0.08611566 0.1576049  0.12813782 0.35598455 0.02016068
 0.03991073 0.05384426 0.03180523]",0.35598454952766034,False,3691971.0,32
[0.02474613 0.08373703 0.05971538 0.63302586 0.16462742],0.6330258605245601,True,2096904.0,51
[0.01444143 0.01041381 0.0102154  0.95518723],0.9551872305318055,True,6674381.0,27
[0.01010192 0.02279496 0.9074829  0.0174873  0.02698653],0.9074828993035148,True,3247351.0,39
"[0.03029141 0.32062451 0.02686174 0.01947075 0.03674851 0.01289071
 0.07975419 0.44786365]",0.44786365376011733,True,7667584.0,43
[0.01069852 0.05552533 0.01155775 0.10626375 0.45475017 0.31674839],0.45475017332760814,False,7619271.0,35
"[0.13069833 0.01020577 0.54391087 0.14057443 0.04463067 0.08433998
 0.0103275 ]",0.543910865474777,True,1187986.0,46
[0.01612139 0.19792054 0.03004698 0.73358105],0.7335810475266626,True,7720842.0,39
"[0.03019179 0.02513718 0.52101706 0.08528795 0.04656217 0.09948797
 0.05402149 0.02526765 0.05054084 0.04708074]",0.5210170591055292,True,1410544.0,45
[0.2073864  0.03032612 0.72062379 0.01011575],0.7206237947739715,True,7454585.0,44
[0.98694484],0.9869448445063305,True,6104572.0,33
[0.48808891 0.49778405],0.4977840451182621,False,7586234.0,33
[0.93867737 0.0536512 ],0.9386773710000258,True,1892695.0,51
[0.02451116 0.45357158 0.17041116 0.06729183 0.27033932],0.4535715797168565,True,1925219.0,26
[0.0168898  0.01454279 0.74575406 0.20717708],0.7457540636607269,True,4774743.0,39
[0.07401191 0.89712522],0.8971252215156863,True,7648318.0,35
[0.0229134  0.86143775 0.09800178],0.8614377511691267,True,5132807.0,38
[0.99271363],0.9927136329139702,True,6597861.0,26
[0.74929116 0.03172349 0.01616812 0.19093225],0.7492911649426365,True,4132823.0,38
[0.99243925],0.9924392519758415,True,7761002.0,41
[0.99310162],0.9931016151783202,True,7614874.0,35
"[0.0492552  0.20569746 0.36620113 0.06354631 0.03029878 0.01489287
 0.07381341 0.16230103]",0.36620113351836076,True,4358954.0,49
[0.80842061 0.13399381 0.02105077 0.01037453],0.8084206108129428,True,1168543.0,35
[0.45478355 0.02497809 0.03749332 0.03334258 0.42962923],0.4547835491657636,True,919283.0,42
[0.69473107 0.18158201 0.03055676 0.04882378 0.02220389],0.6947310716082046,True,414993.0,30
[0.01776355 0.33860242 0.08433965 0.07428876 0.03269136 0.43156375],0.4315637516120641,True,4928932.0,34
[0.95408284 0.01725734],0.9540828439323252,True,7155153.0,45
"[0.10512303 0.01571687 0.07739879 0.33570481 0.2713614  0.05030742
 0.11510275 0.01195346]",0.33570481004849145,False,6234954.0,44
[0.2742114  0.07524803 0.04554795 0.5858109 ],0.5858108964723316,False,971502.0,34
[0.84698846 0.03265358 0.01775809 0.03071845 0.04209533],0.8469884592714583,True,1085233.0,43
[0.03970417 0.95839419],0.9583941928534335,True,5799115.0,27
[0.97461371],0.9746137096534148,True,7600421.0,49
[0.02197727 0.02023996 0.77690981 0.09606797 0.03644626 0.0280776 ],0.7769098133315756,True,5484328.0,42
[0.02770476 0.05794076 0.01189906 0.01944582 0.8702747 ],0.8702747007627682,True,7729932.0,39
[0.84310357 0.08020626 0.03210829 0.0252463 ],0.8431035688272979,True,1425174.0,38
[0.01385582 0.36786146 0.11183581 0.0151687  0.03308619 0.43606599],0.4360659904544276,False,1327161.0,36
[0.06516228 0.01099318 0.88731311],0.8873131117921206,True,7733438.0,50
[0.0619046  0.02681426 0.02703517 0.87839997],0.8783999651962886,False,430409.0,35
[0.18490034 0.06593887 0.01170553 0.66348879 0.05024008],0.6634887918526544,True,7135896.0,27
[0.06430188 0.03622818 0.09153073 0.01294034 0.44117179 0.31567154],0.4411717923030211,True,7621163.0,39
[0.82318388 0.15592748],0.8231838764715516,True,6940842.0,30
[0.05908221 0.19034927 0.23653879 0.45189085 0.04762021],0.4518908487146739,True,6907163.0,35
[0.01853135 0.74724704 0.01396346 0.14594163 0.04356088],0.7472470368688654,True,1741831.0,51
[0.03672494 0.06800765 0.63176159 0.15610265 0.061764   0.030961  ],0.6317615877331599,True,4606242.0,29
"[0.01400436 0.68512352 0.04123482 0.01425413 0.02370194 0.10244524
 0.10003904]",0.6851235172470939,True,4485385.0,45
"[0.05317107 0.02949342 0.09672056 0.46139471 0.01174512 0.30479734
 0.02097492]",0.46139470697023766,False,7358529.0,31
[0.47130455 0.02269507 0.4324328  0.02354925 0.02161875],0.4713045454516619,True,133800.0,38
[0.09526122 0.01034964 0.02468086 0.02457205 0.02759981 0.77479389],0.7747938908841155,True,7247996.0,47
[0.01924685 0.01344136 0.90006139 0.06484473],0.90006139180762,True,2935583.0,33
"[0.14004732 0.02362619 0.27248778 0.03750773 0.47197653 0.02053469
 0.01007728]",0.47197652762071746,True,5100818.0,38
[0.94306042 0.04229438],0.9430604184035394,True,6892884.0,33
[0.02508737 0.01887796 0.01423126 0.33154353 0.01459345 0.58421371],0.5842137103136559,True,6428037.0,39
[0.72371859 0.02573794 0.23345197],0.7237185908356821,True,1067541.0,42
"[0.44482911 0.01007099 0.07682861 0.09914604 0.01562114 0.03206776
 0.28810409 0.01421768]",0.4448291133237141,True,622529.0,39
"[0.14340794 0.0171927  0.03274239 0.04564935 0.08291689 0.0682383
 0.56805689 0.01330657]",0.5680568876876129,True,6577099.0,40
"[0.0168472  0.41336305 0.03999354 0.18710914 0.02873917 0.04405872
 0.03334815 0.16100102 0.02754895]",0.4133630494577784,True,738386.0,48
[0.1278261  0.02838685 0.01968033 0.80153093],0.8015309271084031,False,3665869.0,54
[0.04168513 0.61891141 0.20881125 0.03857294 0.01217272 0.056593  ],0.6189114102558101,False,2926303.0,59
"[0.02527706 0.01851713 0.1927342  0.56222394 0.01038316 0.07322344
 0.06775746 0.02408417]",0.5622239430718736,True,3271469.0,46
[0.0239306  0.91216688 0.01624287 0.03026805],0.9121668771971765,True,4033607.0,56
[0.02871193 0.70146056 0.22868852 0.01045953 0.01387611],0.7014605634775661,False,3273222.0,32
[0.9893147],0.9893146964299886,True,4536237.0,41
[0.03087951 0.02160662 0.94222234],0.9422223355533162,True,6831892.0,28
[0.01248378 0.9046396  0.03527873 0.04290545],0.9046395972945763,True,7738127.0,37
"[0.17429997 0.07033144 0.51182552 0.01484977 0.01343053 0.03243058
 0.02177749 0.11970211 0.01454079]",0.511825524764393,False,50616.0,41
[0.02159178 0.16227561 0.01466275 0.78350093],0.7835009274322491,False,3976715.0,43
[0.37762383 0.01091492 0.39427981 0.18980615 0.01155483],0.39427980526754375,True,6239486.0,36
"[0.02401167 0.06357742 0.37117487 0.02029334 0.05341175 0.03228907
 0.38812242 0.0210058 ]",0.38812242152298687,True,5558452.0,37
[0.05858875 0.803893   0.0111734  0.11588081],0.8038929995471225,True,2461549.0,38
[0.97197066],0.9719706622119767,True,6550822.0,31
[0.02775271 0.95898392],0.958983923547319,True,4205403.0,28
[0.01041721 0.20183277 0.69757501 0.08356148],0.697575011346501,True,2324760.0,38
[0.03909683 0.02078086 0.01369289 0.89505822],0.8950582210807112,True,7658645.0,60
"[0.01204621 0.02499064 0.80380278 0.01014084 0.03176466 0.01420757
 0.08189606]",0.8038027807663319,True,2907504.0,42
[0.93981725 0.046831  ],0.9398172521991457,True,1049761.0,29
[0.14008047 0.10814435 0.7433042 ],0.7433042025213986,True,4779550.0,41
[0.92017031 0.02405081 0.0163908  0.02196427],0.9201703118686689,True,6202041.0,45
[0.01107858 0.97674774],0.97674773784073,True,7735165.0,42
"[0.01419842 0.02094672 0.10356298 0.02798849 0.02203815 0.10505857
 0.58151997 0.05520246 0.02659695]",0.5815199709470075,True,5992895.0,52
[0.71921842 0.037273   0.0903744  0.09507891 0.02953413],0.7192184167604622,True,804949.0,40
"[0.12807615 0.01252537 0.0191642  0.24234825 0.3754943  0.03025368
 0.08835429 0.08066395]",0.3754943045518951,False,3972080.0,39
"[0.1626448  0.04605959 0.10952182 0.0359583  0.14732394 0.01931065
 0.18261228 0.01030574 0.24082074 0.01794438]",0.24082074303248655,False,964408.0,32
[0.9800544],0.9800543953983788,True,7759068.0,50
"[0.03768974 0.03625216 0.07060163 0.69698882 0.10632718 0.02530391
 0.01173074]",0.6969888217995106,True,4166468.0,41
"[0.02330928 0.58318152 0.01211091 0.14545347 0.17632282 0.01036749
 0.03514289]",0.5831815212239673,True,2978349.0,39
[0.92647762 0.05626285],0.9264776182514718,True,758990.0,30
"[0.1094661  0.0259017  0.29918948 0.11459091 0.09446493 0.1539273
 0.03826899 0.03097208 0.08030816 0.02116756]",0.2991894765675498,False,5889522.0,41
[0.01420571 0.95318236 0.02644402],0.9531823611885533,True,5837401.0,34
"[0.03741125 0.568803   0.03986058 0.02947579 0.21029953 0.02069849
 0.04290715 0.03310466]",0.5688030039543234,True,1912240.0,37
[0.10279135 0.17372325 0.01137055 0.66466535 0.02008106],0.6646653460245561,True,6933798.0,28
"[0.01239194 0.05684489 0.01177966 0.01445007 0.57925734 0.12735535
 0.18981787]",0.579257341660515,True,7003061.0,36
[0.03521696 0.0152322  0.9325489 ],0.932548895383929,True,4921649.0,43
"[0.01926483 0.13523285 0.0163969  0.01367362 0.02702775 0.30242438
 0.01612711 0.03955178 0.04583018 0.37318245]",0.37318244869987316,True,7602478.0,32
"[0.01165826 0.03164715 0.02526217 0.39198364 0.02006665 0.02193118
 0.05605099 0.37429442 0.04713797]",0.3919836363123566,True,4630154.0,43
[0.66709533 0.08726218 0.23029147],0.6670953313971368,True,355641.0,29
[0.01656294 0.97530344],0.9753034445564535,True,6720302.0,35
[0.83860665 0.03091326 0.11733368],0.8386066474215722,True,886134.0,39
[0.24884233 0.37589774 0.27899323 0.07098363],0.3758977432171742,True,4425012.0,36
[0.01617448 0.02933762 0.14025891 0.68760704 0.02922789 0.06281268],0.6876070389955244,True,6080614.0,41
"[0.01639133 0.01039958 0.74263718 0.02999631 0.03043518 0.01780292
 0.03413555 0.04995826 0.03931107]",0.7426371785757324,True,2421902.0,50
"[0.15730057 0.03575962 0.01927083 0.03048242 0.04823332 0.08537215
 0.10919171 0.47181207 0.02121004]",0.47181207420332083,True,6330417.0,47
"[0.03266181 0.31429599 0.407854   0.05466165 0.03735046 0.02968758
 0.03372725 0.07890222]",0.4078540027036756,True,2482272.0,24
[0.04113029 0.10993752 0.83785239],0.8378523876360218,True,7738355.0,25
"[0.01457932 0.02565179 0.03815116 0.14127743 0.03554056 0.02559338
 0.7015279 ]",0.7015279025534482,False,3083760.0,38
[0.19859813 0.05416873 0.08860641 0.6383006 ],0.638300600438349,True,7484571.0,44
[0.06458081 0.895991   0.01178574 0.01322448],0.8959909966643047,True,256503.0,37
[0.55505616 0.05906698 0.30637658 0.02108056 0.0122263  0.01294123],0.5550561584367374,False,2123588.0,36
[0.04123474 0.11659539 0.15218538 0.25960887 0.03989543 0.33769663],0.33769662884555995,True,7573986.0,48
"[0.60317691 0.02429927 0.04080034 0.01373816 0.02767794 0.03226731
 0.14827933 0.05852124 0.01686208]",0.6031769053213137,True,410804.0,38
"[0.29592064 0.16985245 0.02384236 0.30022137 0.14240544 0.03247335
 0.01831626]",0.3002213708474145,False,309500.0,35
[0.01496637 0.17239907 0.01169888 0.73693838 0.01298197],0.7369383757052139,True,7502277.0,35
[0.0418493  0.01379062 0.07798408 0.01205983 0.84260966],0.8426096632999782,True,6577978.0,28
[0.04851323 0.01350689 0.02049261 0.84999686 0.0104515  0.03453105],0.8499968612599764,True,4259242.0,40
[0.97374935 0.01398371],0.973749347319713,True,7746630.0,54
[0.0222327  0.01359014 0.55305112 0.30973122 0.06148936 0.01761509],0.5530511169251009,False,5701630.0,61
"[0.07538058 0.01363626 0.07822802 0.03369731 0.0289286  0.23366077
 0.04879197 0.06299887 0.41480003]",0.41480002983772746,False,7213801.0,33
"[0.01374593 0.0133543  0.03130428 0.01238003 0.01104329 0.58440713
 0.09148494 0.02634291 0.05229985 0.15273359]",0.5844071348148877,True,5578425.0,44
"[0.01370114 0.01243355 0.22173892 0.03812097 0.01284891 0.08669015
 0.12680645 0.46182869]",0.46182868886043843,True,7647812.0,50
"[0.13605504 0.05849884 0.01340712 0.46316462 0.27948008 0.02431844
 0.01166432]",0.46316462075520126,True,1476713.0,47
"[0.79600078 0.02507312 0.0131143  0.01683658 0.04109675 0.07050803
 0.02070558]",0.7960007844616286,True,583906.0,29
[0.09398458 0.89652611],0.8965261138774411,True,7747490.0,31
[0.04223126 0.82243524 0.02171612 0.03836894 0.04018446 0.01589033],0.8224352359816075,True,3788727.0,45
[0.98196767],0.9819676670886026,True,7756498.0,39
[0.97381059 0.01411271],0.9738105920958382,True,1354167.0,27
[0.05186889 0.80150683 0.12973854],0.8015068348875405,True,4393110.0,37
"[0.01032155 0.0380209  0.01680192 0.01095037 0.04597423 0.01054535
 0.0135165  0.05887541 0.0386016  0.74522588]",0.7452258836852652,True,7148698.0,47
[0.07538345 0.14328593 0.30830302 0.47271472],0.4727147156337743,False,3832588.0,18
"[0.73666197 0.01862922 0.01076723 0.13467431 0.01853655 0.0230289
 0.04698049]",0.7366619691157827,True,288338.0,35
"[0.03816365 0.2954205  0.02111395 0.01746453 0.01932555 0.53897791
 0.01474588]",0.5389779121049804,True,7252422.0,53
"[0.01738146 0.02674377 0.01789272 0.07122606 0.1219301  0.01008463
 0.01071509 0.69093531 0.02152883]",0.6909353125742191,True,6923874.0,41
[0.01575556 0.06106457 0.90796275],0.9079627526335151,True,7242836.0,37
[0.01079776 0.02208288 0.9473332 ],0.9473331995103014,True,3066942.0,37
[0.02793422 0.01665421 0.51939554 0.41679268 0.01016198],0.5193955439608237,True,3552334.0,29
"[0.04173166 0.31730558 0.25665778 0.03179544 0.01376675 0.01030713
 0.02139791 0.26402206]",0.317305582589269,True,2510556.0,57
[0.02330962 0.06132678 0.07018887 0.01893286 0.01699597 0.79429632],0.7942963190615281,True,6166816.0,36
[0.03308049 0.67825063 0.24269318 0.02448837],0.6782506317177577,False,6855013.0,34
