all_pOx,max_pOx,correct,gal_Index,num_cand
[0.12525548 0.67047317 0.17915192 0.01344912],0.6704731730067727,True,2660909.0,43
[0.01340544 0.02376877 0.13755744 0.05750585 0.74500436],0.7450043607425348,True,6374237.0,43
"[0.03410703 0.0506407  0.74418176 0.03484817 0.08436028 0.01170478
 0.02010854]",0.7441817620460661,True,2659576.0,31
"[0.19089249 0.03216663 0.19433235 0.34540127 0.01492819 0.01241007
 0.01858557 0.01726165 0.08883841 0.01752405 0.04027066]",0.3454012744198225,False,603768.0,38
[0.11778106 0.71829595 0.02209446 0.10191985 0.03429622],0.7182959488169802,True,2229970.0,24
[0.02123888 0.91112636 0.02572535 0.01049932],0.9111263626569537,True,4536945.0,42
"[0.05580441 0.01803922 0.02100534 0.01176288 0.01692581 0.03109286
 0.04624904 0.02598104 0.74112499]",0.7411249896142449,False,771625.0,56
[0.33433927 0.59922025 0.01624297 0.03866824],0.599220253039075,False,454754.0,44
"[0.01737326 0.33472701 0.04268178 0.40530236 0.01372722 0.01557733
 0.1451605 ]",0.4053023594414638,True,1210154.0,48
"[0.01368727 0.30949917 0.06033405 0.19516516 0.23838435 0.10636126
 0.01491108 0.05414504]",0.30949917459727205,True,1281220.0,31
