all_pOx,max_pOx,correct,gal_Index,num_cand
"[0.07718838 0.14111926 0.06062648 0.01127529 0.04364762 0.34366944
 0.22909704 0.06539645]",0.34366943756393054,False,130542.0,35
"[0.04513187 0.04924734 0.46905001 0.02211564 0.25134713 0.04005963
 0.10554899]",0.4690500104303507,True,372378.0,33
[0.02651437 0.03593845 0.01714988 0.794187   0.02042282 0.07796909],0.7941870039058309,True,4865452.0,50
"[0.08335393 0.01002738 0.08440649 0.72812652 0.02307184 0.0122161
 0.04942249]",0.7281265247154673,True,3957808.0,43
[0.01707712 0.0660747  0.84925648 0.03075898 0.01127802],0.8492564762370844,True,2137811.0,53
"[0.01820271 0.12091673 0.07698539 0.66154897 0.03130385 0.01948973
 0.03530243]",0.6615489738605448,False,832684.0,45
[0.08464674 0.0124792  0.01563741 0.05384522 0.74208316 0.04994393],0.7420831551216215,True,6015347.0,46
[0.03279077 0.0514871  0.01625391 0.86000865 0.02509415],0.8600086543043606,True,6006623.0,44
[0.01301039 0.03100604 0.07759243 0.33637359 0.53163046],0.5316304627869837,True,6134523.0,45
[0.53950037 0.02754115 0.11054635 0.29745933],0.5395003706984952,True,2270297.0,42
"[0.07216913 0.03723181 0.03757143 0.02373249 0.60586294 0.14678903
 0.02976921 0.01976488 0.01053478]",0.6058629430319857,True,6892173.0,30
[0.03830607 0.92376158 0.01298253],0.9237615809965666,True,5329650.0,63
[0.01096489 0.01866707 0.8594953  0.06236492],0.859495300893197,True,5052309.0,53
"[0.05042556 0.01094625 0.01206406 0.74710988 0.03787463 0.01135627
 0.09544729]",0.7471098786871532,True,4191865.0,45
"[0.05180998 0.0248545  0.0569812  0.79614627 0.01666454 0.02232568
 0.01212026]",0.7961462720051832,True,5151853.0,47
[0.0261526  0.01912909 0.94418507],0.9441850731929537,True,4464980.0,28
"[0.08638999 0.03298006 0.01370183 0.04422806 0.74624748 0.02010402
 0.01334017 0.01144072 0.01449141]",0.7462474825092806,True,4980951.0,46
[0.56738639 0.08710996 0.14081175 0.04162113 0.14359964],0.5673863859358604,True,701600.0,39
"[0.02129844 0.08801853 0.02093705 0.02519702 0.01310663 0.79275101
 0.01275169]",0.7927510051158878,True,6647066.0,41
[0.98399347],0.9839934662250347,True,7170949.0,25
[0.04176622 0.02749802 0.8161447  0.06487789 0.02485541],0.8161446965027658,True,5788027.0,58
[0.0770459  0.47022985 0.0173553  0.10356321 0.25346459 0.04132209],0.4702298527841149,True,1479473.0,38
[0.88916355 0.04870198 0.03749618],0.8891635472349954,True,5577401.0,35
"[0.20542441 0.08627428 0.01376495 0.02252842 0.08615327 0.12128535
 0.36563175 0.03773885 0.02382763]",0.3656317454326891,False,182486.0,44
[0.96159075],0.9615907465146261,True,3017514.0,34
"[0.09282792 0.16970119 0.30131673 0.04652832 0.14246154 0.10389019
 0.07598845 0.03345745]",0.30131672677021,False,144853.0,43
"[0.14224934 0.02025332 0.08632833 0.01090664 0.01636704 0.02667321
 0.05588035 0.58802977 0.0364305 ]",0.5880297656656878,False,1763121.0,36
"[0.11334004 0.01117713 0.01324084 0.7662301  0.03334128 0.02423612
 0.02904341]",0.7662300987596627,True,4191970.0,24
"[0.109694   0.0491118  0.0362541  0.01648202 0.0349716  0.02675513
 0.01281393 0.38599746 0.28782164]",0.3859974550305075,False,335822.0,53
"[0.07838373 0.01203181 0.29777627 0.02231336 0.27025588 0.05457776
 0.0255796  0.0367026  0.17314943]",0.29777626696291604,True,439446.0,38
"[0.1378414  0.01368352 0.05324598 0.01339378 0.02006284 0.01226878
 0.08708914 0.03069426 0.51764564 0.10625897]",0.5176456395470231,False,26069.0,29
"[0.05545099 0.0102069  0.74180043 0.03309004 0.05975089 0.02951829
 0.04742216]",0.741800428985042,True,4703078.0,32
"[0.0161824  0.52286319 0.03788842 0.09402535 0.02872695 0.1751044
 0.01113341 0.08472361]",0.5228631894730214,True,1571643.0,45
[0.02958999 0.09258488 0.85388456],0.85388455622059,True,4115011.0,55
[0.07953558 0.01171245 0.75451111 0.11731038],0.75451110706829,True,3522956.0,56
[0.04282912 0.47698512 0.01002356 0.04988728 0.40205505],0.47698511546789335,True,2807704.0,44
"[0.01210209 0.70848374 0.01077926 0.05774402 0.01383017 0.04738055
 0.12476533]",0.708483738278302,True,725691.0,37
[0.31351732 0.02578427 0.01457691 0.01146452 0.61074673],0.610746728332353,False,3024411.0,43
"[0.10286424 0.06417866 0.08434421 0.01351699 0.01922881 0.58135065
 0.07732486]",0.5813506494040729,False,10304.0,43
[0.86472814 0.01171744 0.10937568],0.8647281412750508,True,4681121.0,23
"[0.01910542 0.50013314 0.09683508 0.06224469 0.01029467 0.12633861
 0.15749772]",0.5001331397517675,True,1288755.0,32
"[0.01444004 0.06207573 0.02379207 0.01244373 0.12929861 0.60093287
 0.13054478]",0.6009328721966234,True,7372502.0,40
[0.11725983 0.02244447 0.40630503 0.02239762 0.3430302  0.06567719],0.4063050301468338,True,5792364.0,36
[0.02855759 0.03304427 0.04200171 0.54823952 0.29611363 0.01611968],0.5482395228169141,True,2765432.0,43
"[0.04088358 0.1500762  0.01427853 0.37255884 0.22149869 0.06932491
 0.01921863 0.08993639]",0.37255884014175444,True,2568930.0,43
"[0.01936667 0.24159714 0.60332876 0.02884928 0.03408199 0.02666725
 0.0164524 ]",0.6033287588804902,True,1233687.0,42
"[0.19215043 0.28217636 0.15765033 0.25886331 0.01962308 0.01552739
 0.01479645 0.02530719]",0.2821763627229174,True,1973150.0,59
[0.01225272 0.53270986 0.01728052 0.41905833],0.5327098580765678,True,4028942.0,46
"[0.02783642 0.01270551 0.01382048 0.02144246 0.5541643  0.0734115
 0.01490414 0.2596252 ]",0.554164300303188,True,4533393.0,41
[0.04691722 0.18347664 0.05759703 0.6789221 ],0.6789221038105063,False,1528372.0,38
"[0.07835203 0.01937917 0.17139496 0.02610599 0.50491703 0.16039602
 0.01798801]",0.5049170259253909,False,3134871.0,45
[0.01899888 0.30005613 0.60176395 0.01025254 0.04492492],0.6017639487874014,True,5544688.0,37
[0.01492747 0.01320312 0.50759891 0.05126206 0.34146916 0.05770233],0.5075989149480841,True,1626388.0,38
"[0.0263508  0.0177421  0.01740764 0.04311323 0.01018098 0.02804992
 0.83916391]",0.8391639092226517,True,6454392.0,39
[0.01135145 0.98697563],0.9869756330126812,False,3330083.0,33
[0.01673175 0.02866458 0.84910526 0.04603667 0.03183425],0.8491052597553418,True,3407997.0,44
[0.07281768 0.04612195 0.19056573 0.63340086 0.01627267],0.6334008617022011,False,1781174.0,38
[0.97548546],0.9754854648072948,True,7376857.0,29
[0.25945147 0.05596131 0.10933404 0.13111496 0.02489665 0.38366313],0.3836631256373083,False,874668.0,53
"[0.23401646 0.51459935 0.0812316  0.0417705  0.01814119 0.01673121
 0.03149084 0.05081101]",0.5145993465848033,True,2025904.0,31
[0.01088721 0.04580047 0.01653221 0.10370429 0.43859657 0.36883577],0.43859657169991406,True,6414162.0,49
"[0.03396195 0.10944195 0.73585909 0.02200634 0.01088603 0.02468131
 0.04945415]",0.7358590869275324,True,3348718.0,33
[0.02210888 0.07431958 0.03579702 0.08474234 0.05127379 0.68694423],0.6869442278733984,True,6612320.0,44
[0.01365751 0.04215093 0.073858   0.01055694 0.04692555 0.8025605 ],0.8025605043275668,False,364717.0,40
"[0.01506466 0.03291051 0.01529342 0.03285922 0.24582252 0.01924039
 0.37394183 0.01672945 0.03003022 0.01282261 0.09099167 0.02380154
 0.03197798 0.01592617]",0.37394183390403773,True,4908355.0,57
[0.02857609 0.02572331 0.02583142 0.86671059 0.02972097],0.8667105856230465,True,3229210.0,33
[0.0528665  0.92062917],0.9206291653735209,True,6845560.0,36
"[0.03265077 0.03147352 0.03206053 0.27212645 0.50570699 0.01754473
 0.01451801 0.01322398 0.01668052 0.01970678]",0.5057069867758044,True,4362342.0,42
[0.97933672],0.9793367201029697,True,3556302.0,26
[0.13374341 0.84651544],0.8465154422796731,False,4558864.0,35
[0.13340885 0.01323565 0.48510869 0.32019989 0.01119007],0.4851086865749104,True,1876019.0,50
"[0.04070155 0.59551153 0.01166689 0.04658773 0.03691825 0.01451337
 0.23722834]",0.5955115280949256,True,1562716.0,43
[0.01574692 0.92064319 0.01098617 0.01435907 0.01071152],0.9206431889774777,True,5947429.0,34
[0.08007439 0.89791946],0.8979194571725403,False,1278607.0,41
[0.37456245 0.02351666 0.34244272 0.04926608 0.15676637 0.02003403],0.37456244822027324,True,2112575.0,51
"[0.67646989 0.0119145  0.01196509 0.06155515 0.0331779  0.01230492
 0.02547511 0.08759843 0.04742649]",0.6764698909967586,True,1453056.0,43
[0.22716853 0.0140803  0.24356981 0.0345026  0.12709645 0.33234568],0.3323456782607799,False,81912.0,27
"[0.48216248 0.04472204 0.03201763 0.04851671 0.15613305 0.18169666
 0.01151767 0.03197161]",0.48216248407957185,True,467720.0,44
[0.02115425 0.07909019 0.71067394 0.05461679 0.014328   0.05731773],0.7106739385978462,True,1965026.0,53
[0.01247666 0.02131509 0.9309094  0.02322607],0.9309094039136615,True,5713052.0,41
"[0.27591619 0.03702902 0.05661579 0.09959435 0.32217816 0.04322863
 0.03397065 0.01855363 0.02421295 0.06230533]",0.3221781564460353,True,6051525.0,45
[0.04058446 0.05901941 0.02885593 0.49403526 0.33956984],0.49403525981845764,False,6502915.0,44
"[0.02243828 0.04442166 0.0925148  0.02228804 0.12999052 0.02574172
 0.19130312 0.22782031 0.01190207 0.01382228 0.03370744 0.16166657]",0.22782031402951441,True,3561704.0,55
"[0.46169592 0.01453668 0.03868304 0.01275194 0.35920543 0.06088621
 0.01431962]",0.46169592482354344,True,2328718.0,36
[0.08120783 0.01904841 0.46154159 0.01247531 0.38168651],0.46154158826005753,True,1483411.0,44
[0.02910739 0.07912997 0.8583395 ],0.8583395023201098,True,5667626.0,34
[0.04536945 0.09158567 0.05349707 0.0121783  0.48828858 0.26990553],0.48828858094839145,False,461867.0,48
[0.01301079 0.874997   0.10079551],0.8749970000944886,True,5166750.0,39
[0.01634117 0.01282065 0.01620916 0.92560462],0.925604620957994,True,6799946.0,44
[0.55577072 0.3902866  0.01271997 0.01277756],0.5557707196664038,True,2035070.0,39
[0.01999125 0.01762022 0.94429231],0.9442923085059104,True,6681772.0,31
"[0.30765753 0.01755036 0.05547692 0.11041874 0.02414787 0.01249438
 0.02614088 0.07867591 0.09425917 0.13759645 0.02169348 0.10515428]",0.3076575263839189,True,384466.0,37
[0.16191574 0.02638337 0.09366235 0.01286194 0.6913886 ],0.691388597903563,False,842091.0,49
"[0.75678878 0.01023621 0.02013572 0.05341659 0.0422337  0.02412175
 0.01515717 0.02341243 0.03647251]",0.7567887826508337,True,776710.0,56
[0.83513265 0.15362142],0.835132651437374,True,3555309.0,24
[0.01122242 0.98579028],0.9857902762685605,True,7456860.0,29
[0.08054586 0.01088053 0.2215059  0.62223532 0.03491139 0.01754332],0.6222353168007675,True,5389939.0,29
[0.02335362 0.02256507 0.29465918 0.64485482],0.6448548248334571,False,6756373.0,34
[0.31798966 0.28779478 0.35546716 0.01314914],0.3554671633764526,False,3658245.0,43
[0.19805053 0.13669356 0.19972611 0.04158124 0.37404353],0.3740435263067496,False,3082118.0,37
